x,y,z
0.218641602,0.119654169,0.099460913
2.146502955,-0.845555714,0.641457243
2.095449255,-0.60356875,0.869474546
1.169465406,-0.376445211,0.931447507
1.309568628,0.657876246,1.087071653
1.212964643,-0.449834754,1.281759198
1.93621046,0.826427699,0.877052813
1.603562061,0.556691539,0.417190093
1.820282228,-0.27762675,0.635529535
1.315684028,0.43514981,0.853982474
2.013896447,-0.412961334,1.707939634
2.375673241,-0.130132095,2.165379991
2.753830342,-1.355115812,2.449077538
2.156126781,0.100071671,2.379799446
2.797967347,-0.619498378,3.313643376
2.204039106,-0.217103292,3.226328614
2.8758225,-1.074183219,3.773993221
2.238907755,-1.896132568,3.557044478
2.321924151,-1.911389108,3.330108545
3.008286847,-0.55031007,3.885698392
2.640047436,-0.978777071,3.747116799
2.534291591,-0.931742754,4.678623916
2.397790869,-2.273564076,4.296063771
1.921242934,-2.491729232,3.915848438
2.838981248,-2.107559039,4.347563027
3.16812825,-1.283303192,4.326789469
4.013579531,-1.511555616,4.428513273
3.532095397,-2.413098715,4.185262704
3.733338968,-2.272399828,3.842133996
3.263494502,-1.279643204,3.565079955
3.979629216,-0.7590935,3.870429179
4.315149498,-0.948945092,4.383703346
5.152088528,-1.569617985,4.866395004
4.073885762,-1.645377124,4.10562978
3.36978019,-1.27059037,3.810397634
3.682059083,-0.942960758,4.182642405
4.690018324,-2.843881962,4.525598319
4.98475849,-1.75157284,4.748398848
5.163235613,-1.27974412,5.291802046
4.770191393,-2.127909517,5.722658918
5.472363758,-0.727994401,5.558982844
5.104191851,-0.646835969,5.130328286
4.208094316,-1.670229923,5.142313848
4.799277288,-2.770908691,5.217266241
4.422651628,-2.783846061,5.527745738
4.290962915,-0.988140106,5.426844788
4.423539662,-1.381064635,5.380293561
4.827054053,-1.717641709,5.701273831
5.450061628,-1.293131969,6.502440348
5.956102102,-1.134919969,6.622519391
5.400371951,-2.165076212,6.73434925
4.738461305,-2.738871534,6.75112524
5.303707997,-2.344363902,6.863175462
4.99232033,-2.462415015,6.239095624
4.404238032,-2.012490046,6.209561516
3.272330188,-0.819548971,5.21155281
4.148592166,-0.511148522,6.081532561
3.834717184,-0.933560738,5.642045907
3.555768183,-1.351382425,5.300409441
4.010380598,-0.808842119,4.792738769
4.035489484,-1.181216479,4.813604305
4.291382752,-1.670619958,4.778335009
4.072313288,-1.195773763,4.324334661
4.710497193,-1.33506646,4.844877164
5.306899856,-2.088400698,5.203574446
5.912305923,-2.13429595,5.944459376
5.343124424,-2.160855903,5.229708573
4.962337927,-1.773505903,5.015111153
4.882054765,-2.00324995,5.31422941
4.004649839,-0.343139704,5.470865449
3.707590559,-1.923895256,5.818521434
5.096456626,-1.850468771,6.220757821
4.49439506,-1.883702297,6.396735322
3.592232851,-2.248646903,5.602920667
3.611500534,-1.472109129,5.715505561
3.638569106,-0.750508797,5.9471388
2.970405072,-1.310161846,5.757801437
3.016695763,-1.065305032,5.141700936
2.704495213,-1.121066988,5.078337113
3.732806837,-1.934433608,5.01883123
3.937086671,-1.494186472,5.166877869
3.932974235,-2.286511259,5.599700768
4.111605175,-2.610889795,6.211079709
3.982490511,-2.609917489,6.268758942
4.262391675,-2.28635144,6.156125361
4.521528168,-2.400367792,6.338219163
5.709712311,-2.929704532,7.175496096
6.023703405,-2.937433699,7.792368379
6.500072647,-1.875985105,8.258067637
6.378732826,-2.075148358,8.447446047
6.68790729,-2.415500424,8.430873545
7.127352241,-2.747920983,8.776175801
8.145209088,-2.194566425,8.761841442
8.170880827,-3.135409454,8.624638996
7.040938686,-3.131118369,7.736984716
6.40868102,-1.797171853,7.392864365
6.755809713,-2.804092439,7.850578109
7.072122569,-2.742458599,7.990757246
6.990091023,-1.693433566,7.829294222
6.322178178,-1.694692637,6.747510127
5.021580896,-2.380616574,6.84747555
4.794025946,-1.453227175,6.470807969
4.022493966,-1.299562559,6.120107556
4.359183422,-1.017695321,5.627326886
5.210297669,-1.151761962,5.654134474
5.277823248,-2.372765549,5.764243405
5.100450454,-3.399950621,6.077474511
5.260851515,-2.147754991,5.893016255
5.660637498,-0.820503288,6.052706183
5.980146408,-1.954695186,6.060070656
4.755198055,-2.042105889,5.793209361
4.686107733,-2.56593212,5.564137106
3.769339149,-2.510620407,5.48152993
4.202543752,-1.496104406,5.47126196
4.584749817,-2.548756917,5.975512839
3.70718775,-1.473715819,4.770125107
4.399908341,-0.720686301,5.03923474
5.498157658,-1.186584972,4.600748854
5.167869625,-1.771236431,4.262419216
4.316709347,-2.097275123,4.268130309
4.487630866,-0.596717705,4.248826441
4.119750847,-1.040118942,4.287088394
3.562879713,-0.484895523,4.291423558
3.409532332,-1.460850649,4.204850644
3.550647791,-2.74195958,4.671053396
3.47078052,-1.66824441,4.58412895
2.809369474,-1.013454625,3.78162327
2.689913567,-1.332442595,3.486857975
2.639411066,-1.29551211,3.916022219
2.880988177,-1.389087262,3.584467548
4.533887519,-2.134960146,5.024125828
5.276710684,-1.765406213,4.858090906
4.586304729,-0.952298198,4.625333885
5.981278382,-1.230992853,5.414462575
6.36771286,-2.274300533,5.195341848
5.925499508,-1.292212845,5.498324972
5.281335056,-1.635328969,5.08696891
5.367216569,-1.771947683,5.886809582
5.949783491,-1.921641667,6.267933541
5.023174743,-0.635934409,5.855798972
4.278453957,-1.294514395,4.578352942
4.092001262,-1.125934141,5.074234435
3.809193292,-1.418224985,5.008554099
4.409081721,-2.899145214,4.958205981
3.589979509,-1.913355364,4.462121537
3.053530025,-1.880696029,4.491736095
3.87989566,-1.317050109,5.098544223
4.002701138,-1.023924763,4.874573278
3.848823306,-1.226992686,4.40675655
4.036646409,-1.462222583,4.85343633
3.233099136,-1.496310148,4.533673304
4.142403614,-0.83368344,4.674755171
3.783816273,-0.368252697,4.14356983
3.381570101,-1.047732522,4.421507555
3.627447854,-1.62132483,4.820045783
3.971968701,-1.784554565,5.740627922
5.341630359,-2.122829018,6.481314063
6.084411171,-2.11310435,6.823551306
5.987969261,-1.999785748,6.800906813
6.5112391,-2.471997601,7.170894596
6.542893749,-2.664785427,7.315351052
7.18075199,-2.134120154,7.276167122
6.817663375,-1.598503189,7.192602155
6.335011961,-2.911996302,7.735195216
6.655948088,-1.872360597,7.965526732
6.185509119,-2.597784755,8.0394853
5.432407012,-2.351230894,7.34936421
6.121743799,-2.342190731,7.300590421
5.108890404,-1.175631872,6.524377694
3.697525504,-1.430629078,4.999670265
4.458381704,-2.147896205,5.083230051
4.633872428,-1.505248015,5.023179228
4.44076511,-1.776368513,4.311133878
4.966485095,-0.888490553,4.48136565
4.766320858,-0.957743344,3.627285456
