t,y
1,-1.61E-04
2,0.004076454
3,-0.001401469
4,-0.003786542
5,-0.003520769
6,-0.008094532
7,-0.005620743
8,-9.20E-04
9,-4.15E-04
10,2.47E-04
11,0.002745231
12,0.002873697
13,-5.09E-04
14,-0.003159279
15,-0.002400972
16,2.96E-05
17,-0.001697691
18,-0.002637098
19,0.001289233
20,0.00187061
21,-0.001396947
22,-0.002297331
23,0.00153502
24,0.00369496
25,0.004765219
26,0.003549704
27,0.001959859
28,-2.47E-04
29,3.03E-04
30,-3.95E-05
31,-0.004124254
32,-0.003167604
33,0.00436793
34,0.007163489
35,0.006744229
36,0.00495716
37,7.28E-05
38,-0.002039147
39,-0.001612181
40,-0.001967367
41,3.86E-04
42,-0.001419569
43,-2.97E-04
44,0.003832567
45,-4.16E-04
46,-8.88E-04
47,0.007554726
48,0.004851204
49,0.002184192
50,-1.38E-04
51,0.001535709
52,0.003738317
53,0.006397982
54,1.82E-04
55,-0.004018864
56,-0.00292356
57,-0.002363756
58,-0.002761596
59,-0.004217462
60,-0.001090215
61,-0.001773467
62,0.001515929
63,-1.20E-04
64,-0.002406238
65,0.001100838
66,0.003218047
67,0.001135493
68,-2.62E-04
69,0.002349784
70,-0.001256432
71,-0.00528204
72,-0.002041539
73,-7.29E-04
74,0.002443061
75,0.004995467
76,0.002736024
77,-0.003203924
78,-0.003666112
79,-0.001551225
80,-0.001071657
81,-0.003255262
82,-0.001608702
83,-0.001890321
84,-0.002879849
85,-1.86E-04
86,-0.001045439
87,-2.65E-04
88,-0.002106319
89,-0.01005978
90,-0.006164435
91,0.003101032
92,0.002301228
93,0.001206083
94,-0.00201271
95,-0.0034215
96,-0.006515937
97,-0.001540545
98,0.009220654
99,0.011522122
100,0.005529512
101,6.74E-04
102,-0.005082935
103,-0.002157222
104,0.001051661
105,-0.002187387
106,-0.00644462
107,-0.005636453
108,-0.00440113
109,-0.003917405
110,-0.005090121
111,0.001293684
112,0.004160702
113,0.004253735
114,-0.00478204
115,-0.00927229
116,-0.006217418
117,-0.007464556
118,7.68E-04
119,-9.02E-04
120,-0.003162972
121,0.003429413
122,0.004221803
123,-0.001609755
124,2.85E-04
125,0.003040175
126,-0.001983807
127,-0.007304441
128,0.001908979
129,0.003211675
130,-0.008235262
131,-0.005213049
132,0.002088362
133,-0.003187794
134,-0.012044963
135,-0.00894647
136,0.00249644
137,0.007021115
138,0.001666917
139,-0.004218978
140,-0.00237942
141,7.92E-04
142,0.002490573
143,8.15E-04
144,0.001653216
145,-6.65E-05
146,-0.002584601
147,5.32E-04
148,0.00417432
149,-0.002123096
150,-0.004146049
151,0.001041053
152,-0.002201248
153,-0.0022004
154,-0.001763
155,8.20E-04
156,0.003938864
157,0.004269801
158,0.002766884
159,0.002976765
160,0.005826591
161,0.009527542
162,0.00616196
163,-0.005903352
164,-0.006860983
165,-6.09E-04
166,2.52E-04
167,0.001348049
168,0.004475954
169,0.001742975
170,-0.001701912
171,-8.77E-05
172,-5.10E-04
173,-9.36E-04
174,-0.004662894
175,-0.007774241
176,-0.008122761
177,-0.007296499
178,-0.005650067
179,-0.001566795
180,0.003430255
181,9.27E-04
182,-0.004231102
183,-0.006102674
184,-0.004681794
185,-0.002445252
186,3.43E-04
187,3.06E-04
188,-0.005503945
189,-0.005408494
190,0.001987673
191,0.006711136
192,0.001773004
193,-0.006224375
194,0.002957046
195,0.006364238
196,6.05E-04
197,9.51E-04
198,-0.00384983
199,-0.007567616
200,-0.009030829
201,-0.008451411
202,-0.003291995
203,-0.004538166
204,-0.002301226
205,0.002031731
206,-0.001346803
207,-0.001838196
208,0.002177127
209,0.005102274
210,0.002728474
211,-2.34E-04
212,-5.87E-04
213,0.003158633
214,0.006356872
215,0.005992361
216,0.002136209
217,6.63E-04
218,0.001802215
219,-0.001298749
220,-0.006619991
221,-0.002980573
222,-0.003337222
223,-0.00390245
224,-1.78E-04
225,0.002243387
226,0.002167867
227,-0.001002817
228,7.24E-04
229,0.006478005
230,0.007546108
231,-0.002163534
232,-2.39E-04
233,0.003509803
234,0.00259728
235,0.003700267
236,0.002051133
237,-8.88E-05
238,0.002403056
239,0.004545692
240,0.005092959
241,0.009440104
242,0.009332534
243,0.004407458
244,-0.005640318
245,0.003797303
246,0.006456086
247,0.011159362
248,0.013338756
249,0.013307783
250,0.008389248
251,0.003822953
252,0.003559091
253,7.88E-04
254,-0.0010402
255,0.002888076
256,0.002724324
257,-0.006397406
258,-0.007338397
259,-2.25E-04
260,0.003730652
261,0.00431128
262,-0.002668563
263,-0.003358406
264,0.003203515
265,0.007237068
266,0.003863927
267,-8.66E-04
268,0.003062409
269,-0.001175141
270,-0.005799115
271,-0.001125629
272,-0.003740065
273,-0.003641642
274,0.00578083
275,0.006046377
276,2.89E-04
277,5.29E-04
278,4.56E-04
279,0.001710821
280,0.004485305
281,0.002913914
282,-0.002484694
283,-0.006551395
284,-0.005889837
285,-2.46E-04
286,-0.003509625
287,-0.011132296
288,-0.009896439
289,-0.002409352
290,-0.002159707
291,1.58E-04
292,0.003350885
293,0.001176952
294,0.001997192
295,0.003246606
296,3.81E-04
297,-3.62E-04
298,0.00190018
299,0.002538384
300,-3.49E-04
301,6.38E-04
302,0.00440813
303,0.003855216
304,0.001620915
305,3.19E-04
306,0.004757791
307,0.005621274
308,0.001389393
309,-0.006674289
310,-0.011941434
311,-0.007080935
312,-7.27E-04
313,0.001523956
314,0.003434117
315,0.002033383
316,0.003225418
317,5.42E-04
318,-0.005368189
319,-0.007641399
320,-0.002072007
321,0.001287452
322,0.002437044
323,0.001413978
324,-0.001811334
325,-0.002625502
326,-0.005772685
327,-0.008126107
328,-0.008720723
329,-0.001626467
330,5.70E-04
331,0.001217369
332,0.006637017
333,0.00447113
334,0.001194826
335,-0.004255752
336,-0.007500797
337,-0.003561635
338,4.94E-04
339,-0.001177165
340,0.005376851
341,0.005102184
342,1.09E-05
343,0.001939529
344,0.002048281
345,-0.001463344
346,0.0010253
347,0.007008057
348,0.005035118
349,0.002494004
350,0.001345907
351,0.002728861
352,-4.99E-04
353,0.003952073
354,0.003649751
355,-0.005800492
356,-0.006717647
357,-0.001836132
358,0.005233238
359,0.008257394
360,0.004677304
361,-0.003162195
362,-0.00707145
363,-0.004300814
364,0.006481563
365,-2.28E-05
366,-6.49E-04
367,0.001251709
368,0.005735441
369,0.001213307
370,-0.003189622
371,-0.005040637
372,-6.99E-04
373,0.008725271
374,0.015073989
375,0.013596983
376,0.014458077
377,0.016264382
378,0.007831493
379,0.002995142
380,-0.002113552
381,-0.004569917
382,0.002998715
383,0.006636599
384,0.004762084
385,-0.001383381
386,-0.005170772
387,-0.00519224
388,-0.001639838
389,-0.002149984
390,-9.66E-04
391,-0.002071639
392,0.002490091
393,0.006151195
394,4.53E-04
395,-0.001147433
396,-7.26E-04
397,1.49E-04
398,0.001398829
399,-0.00163752
400,-0.00432633
401,-0.001754803
402,0.004300021
403,0.0071399
404,0.002064714
405,0.001126316
406,0.001770237
407,0.001120538
408,0.001387619
409,0.006898156
410,0.002339102
411,-0.002270382
412,-0.005971747
413,-0.00332336
414,0.004610907
415,0.008984986
416,-0.001322841
417,-0.004189645
418,0.006476316
419,0.004794164
420,-0.001280678
421,-0.00131873
422,8.68E-04
423,0.003126198
424,0.006017945
425,0.003913006
426,0.001059611
427,0.007108171
428,0.00827616
429,0.003560894
430,-0.003145022
431,-0.003955053
432,-0.00151021
433,-6.88E-04
434,-0.001668689
435,-0.003247659
436,-0.003862552
437,-0.002705737
438,0.002350549
439,0.005900639
440,0.00246289
441,-0.004726684
442,-0.007037455
443,-0.004746514
444,-0.001574221
445,-0.001715614
446,0.003458014
447,0.003905131
448,-0.003310596
449,-0.004140942
450,-0.004004867
451,-0.002477872
452,4.76E-04
453,0.001619742
454,-0.002920124
455,-0.003146964
456,6.02E-04
457,-0.002615723
458,-7.54E-04
459,0.004070992
460,0.009045976
461,0.007324449
462,0.002033087
463,5.56E-04
464,5.13E-04
465,-0.00455332
466,-0.009927647
467,-0.006440919
468,-0.003202881
469,-0.001740359
470,-0.006131753
471,-0.011089696
472,-0.01060199
473,-0.0015249
474,-0.001223813
475,-0.006256168
476,-0.003537779
477,-0.001384914
478,-5.46E-04
479,0.006662001
480,0.002466501
481,-0.003828343
482,-0.003693756
483,0.002777897
484,0.001740213
485,-0.001910344
486,0.0015559
487,-8.00E-04
488,0.002339573
489,0.006592348
490,-1.30E-04
491,-0.001500321
492,1.03E-04
493,5.48E-04
494,5.10E-04
495,0.002643109
496,-8.90E-04
497,-0.004449833
498,-0.002897376
499,-0.003538855
500,-0.005428044
501,-0.003317955
502,-9.59E-04
503,-0.006525341
504,-0.002777537
505,0.003008476
506,0.008999628
507,0.010386335
508,0.002637129
509,0.008683821
510,0.023494535
511,0.007571647
512,-0.002312258
513,1.60E-04
514,4.01E-04
515,0.001875557
516,-0.004206957
517,-0.004027919
518,0.00717833
519,0.006584623
520,7.23E-05
521,0.004322954
522,0.008497127
523,-0.001631558
524,-0.004517669
525,0.005878217
526,0.012341228
527,0.009067768
528,0.005974696
529,-0.001245986
530,-0.002760833
531,-0.003139351
532,-0.00467965
533,7.20E-04
534,-9.38E-04
535,-0.002111491
536,0.001391429
537,0.00162074
538,0.005243567
539,0.001662661
540,-2.77E-04
541,9.65E-04
542,-5.90E-04
543,4.35E-04
544,-0.00151014
545,-0.005732512
546,-0.005337891
547,0.002584646
548,0.004567398
549,0.002108748
550,4.74E-04
