t,gdp_growth
1,12.02125995
2,15.16897058
3,7.587409497
4,5.39527362
5,6.869216649
6,8.156231482
7,0.874858831
8,4.245098447
9,0.856282027
10,2.87456837
11,12.92470505
12,7.367884184
13,3.080473896
14,-2.256416205
15,-6.10116955
16,-1.914857996
17,0.437411357
18,4.493424297
19,7.752247254
20,11.26622454
21,6.457769783
22,5.367116427
23,2.395477312
24,-1.555190108
25,3.29271492
26,-0.358974579
27,6.530051974
28,2.552907458
29,-0.877522812
30,3.900606945
31,-4.159707615
32,-10.52076753
33,2.619002679
34,9.147056674
35,9.245248797
36,7.600947922
37,8.913675384
38,0.278809715
39,1.138301547
40,8.8948734
41,-2.159246584
42,1.954939929
43,-5.16573753
44,2.690999685
45,6.734408913
46,7.608637951
47,7.770707415
48,7.071770338
49,3.602744037
50,4.888275567
51,1.315442129
52,4.344680729
53,4.464648016
54,8.700021311
55,2.615052202
56,8.34715167
57,4.332722949
58,6.202074999
59,1.234856296
60,9.564369183
61,5.022222548
62,8.795234069
63,9.111050461
64,9.618758001
65,1.363555117
66,3.373068235
67,3.268225654
68,3.52757272
69,0.245330628
70,3.766515019
71,3.004104191
72,8.075025353
73,6.626302827
74,3.086138255
75,1.568019022
76,6.209278408
77,1.211579026
78,2.631136814
79,-1.957618735
80,-0.59601067
81,0.566472357
82,3.668991104
83,-4.309423465
84,10.71966607
85,2.157438105
86,3.276332647
87,0.938357061
88,7.282172009
89,8.975688804
90,3.758643829
91,6.642286891
92,9.779244714
93,4.331437172
94,-2.108902897
95,3.779015812
96,-3.453688192
97,0.949659833
98,-3.799093949
99,-1.556648105
100,-4.90043292
101,2.848637218
102,6.790217143
103,5.352401074
104,8.898160921
105,2.922791705
106,2.183659019
107,2.880021203
108,4.717010209
109,7.693235161
110,7.148403098
111,0.007971039
112,1.277326931
113,15.16784177
114,4.002899039
115,5.340688777
116,0.717730948
117,0.426753424
118,2.960237918
119,0.998932307
120,1.256309656
121,-8.327831933
122,-0.475701752
123,7.390987394
124,7.761890672
125,-2.97534126
126,4.761555003
127,-4.382305248
128,-6.263360731
129,1.820559177
130,-1.531997371
131,0.160003146
132,5.23673235
133,9.000065818
134,7.916951323
135,8.25887931
136,7.74371884
137,6.85202204
138,3.837572472
139,3.269691688
140,3.857258926
141,3.50648003
142,6.06290415
143,2.962796731
144,3.717660621
145,1.797142218
146,3.808483781
147,2.139837667
148,2.956427197
149,4.289627008
150,3.453758533
151,6.809534933
152,2.062205152
153,5.22189507
154,2.337038082
155,5.29462775
156,4.04505757
157,3.04081112
158,2.952022607
159,0.787149208
160,4.347812985
161,1.449251535
162,0.266238094
163,-3.658296259
164,-1.876155659
165,3.106660758
166,2.016344141
167,1.391755339
168,4.760567369
169,4.313867437
170,3.933041199
171,4.149821489
172,0.667218105
173,2.321931509
174,1.90408019
175,5.403929208
176,3.862740813
177,5.38432863
178,2.33152996
179,4.556232747
180,1.416610584
181,1.191514986
182,3.388508904
183,2.707146699
184,2.985034692
185,6.616746724
186,3.572137173
187,4.13206202
188,2.573476535
189,6.606020401
190,4.963354528
191,3.40094202
192,3.994995955
193,3.685718593
194,5.004326031
195,6.385544996
196,3.740194051
197,3.32511274
198,5.268681314
199,6.509414268
200,1.448547603
201,7.219604138
202,0.407522681
203,2.381054314
204,-1.31334898
205,2.490243966
206,-1.605775617
207,1.097594521
208,3.331522228
209,2.443348677
210,1.622749619
211,0.494114898
212,2.101040306
213,3.526892181
214,6.598081034
215,4.616146819
216,2.260208096
217,3.087859968
218,3.776491954
219,4.060156528
220,4.413020212
221,1.965660123
222,3.12303268
223,2.215916949
224,5.345655379
225,1.0336743
226,0.599374416
227,3.423110226
228,1.201536247
229,2.439593166
230,2.297492444
231,2.505086205
232,-1.710710236
233,2.374650373
234,-2.106569521
235,-8.853365096
236,-4.565452544
237,-0.715242887
238,1.402308619
239,4.300454152
240,1.933324088
241,3.851739929
242,3.072509082
243,2.094945458
244,-0.949946694
245,2.697214987
246,-0.089260902
247,4.467158725
248,3.340376728
249,1.781366507
250,0.575697506
251,0.462294966
252,3.926903706
253,1.069115306
254,3.391158621
255,3.471856095
256,-1.38277126
257,5.134276092
258,4.83225933
259,2.017834406
260,3.585819151
261,2.469978633
262,1.597784846
263,0.737236691
264,2.311386607
265,1.282438265
266,2.827543676
267,2.211074114
268,1.942834932
269,2.233244405
270,3.141726103
271,4.482971108
272,3.24047782
273,2.117684922
274,2.48704193
275,0.566175993
276,2.489509163
277,3.326711173
278,4.652841032
279,2.718254387
280,-5.300247883
281,-32.81728242
282,29.90299854
283,4.508555863
284,5.544658614
285,6.750285417
286,3.286671657
287,6.804809236
288,-1.020495165
289,0.62569838
290,2.87722533
291,2.75147654
292,2.88497468
293,2.503636219
294,4.588010958
295,3.362059611
296,0.838565766
297,3.526355417
298,3.28558126
299,1.835281971
300,-0.650594423
301,3.766212643
302,4.282379361
303,0.481089021
