month,dln_OilP,dln_cpi,int3m
03/2007,5.853507257,0.617037504,4.420
04/2007,4.262681646,0.865460432,4.152
05/2007,2.593585498,0.858034437,3.754
06/2007,-0.604231446,0,3.760
07/2007,-2.492938304,0,3.587
08/2007,-6.084309228,-0.606461977,3.558
09/2007,3.487782555,0.606461977,3.552
10/2007,3.601171908,0.850734795,3.577
11/2007,5.388508849,0.481051438,3.734
12/2007,1.338901854,0,3.877
01/2008,1.957706233,0.955215731,3.370
02/2008,-0.814019713,0.601987089,3.288
03/2008,3.731906471,0.585690495,3.261
04/2008,4.354338233,1.636903837,3.279
05/2008,8.990241951,2.296397207,3.382
06/2008,7.361568289,0.899155511,3.640
07/2008,-1.063244488,0.446564015,3.777
08/2008,-21.96335442,-2.945163072,3.849
09/2008,-3.639359898,0.111558735,3.954
10/2008,-11.25731568,-1.271679025,3.996
11/2008,-21.46397544,-1.173737208,3.900
12/2008,-20.45424283,-1.664144907,2.949
01/2009,2.86517618,0,2.225
02/2009,21.2510295,0.963460468,1.816
03/2009,9.274482832,0.471909555,1.769
04/2009,9.579319382,0.937190244,1.496
05/2009,4.254284701,-0.239793136,1.404
06/2009,8.108046739,0.353178975,1.400
07/2009,1.657593939,0,1.386
08/2009,8.028482865,0.351936009,1.356
09/2009,-2.219412247,0.23811027,1.362
10/2009,-2.067429422,0.112591492,1.363
11/2009,4.157642685,0.349476142,1.358
12/2009,-1.039645492,-0.12467275,1.351
01/2010,2.896887476,0.609416723,1.346
02/2010,-0.254129743,0.544084439,1.350
03/2010,1.921621581,0.234033487,1.390
04/2010,0.993488457,0.503161152,1.383
05/2010,-4.002424875,0.183452629,1.383
06/2010,-3.201841625,0.268456537,1.391
07/2010,-0.166140593,0.146127644,1.681
08/2010,0.497595984,0.243072555,1.869
09/2010,-3.639215608,-0.06071277,1.908
10/2010,3.008508123,0,1.898
11/2010,2.401826264,0.218393681,1.898
12/2010,1.420295018,0.15743267,2.150
