MONTH,OILPRICE,STOCKPRICE,GOLDPRICE
01/2003,31.313,370.010,356.859
02/2003,32.543,361.320,358.970
03/2003,30.983,364.550,340.550
04/2003,25.072,374.630,328.180
05/2003,25.790,403.820,355.683
06/2003,27.435,461.820,356.352
07/2003,28.338,484.110,351.020
08/2003,29.775,537.710,359.768
09/2003,27.320,578.980,378.945
10/2003,29.848,639.450,378.920
11/2003,28.683,646.030,389.910
12/2003,29.816,772.150,406.953
01/2004,31.325,698.900,413.788
02/2004,30.648,716.300,404.878
03/2004,33.696,647.300,406.667
04/2004,33.233,648.150,403.260
05/2004,37.708,641.050,383.779
06/2004,35.210,646.640,392.373
07/2004,38.328,636.700,398.091
08/2004,42.868,624.590,400.510
09/2004,43.425,644.670,405.275
10/2004,49.735,628.160,420.464
11/2004,42.800,656.730,439.375
12/2004,39.425,668.100,442.079
01/2005,44.010,701.910,424.030
02/2005,44.865,741.550,423.350
03/2005,52.596,681.490,434.321
04/2005,51.873,658.880,429.233
05/2005,48.900,667.550,421.873
06/2005,54.733,675.500,430.657
07/2005,57.465,675.670,424.479
08/2005,64.062,697.850,437.930
09/2005,62.748,723.230,456.048
10/2005,58.745,682.620,469.898
11/2005,55.406,667.750,476.666
12/2005,57.015,713.730,510.097
01/2006,63.048,762.630,549.864
02/2006,60.118,744.050,554.995
03/2006,62.081,733.250,557.093
04/2006,70.346,768.290,610.653
05/2006,69.825,709.430,675.393
06/2006,68.688,678.130,596.145
07/2006,73.659,691.490,633.710
08/2006,73.109,690.900,632.593
09/2006,61.710,686.100,598.186
10/2006,57.796,722.460,585.780
11/2006,58.918,739.060,627.827
12/2006,62.327,679.840,629.791
01/2007,53.680,654.040,631.166
02/2007,57.430,677.130,664.745
03/2007,62.150,673.710,654.895
04/2007,67.510,699.160,679.368
05/2007,67.380,737.400,666.860
06/2007,71.550,776.790,655.490
07/2007,77.010,859.760,665.295
08/2007,70.740,813.210,665.411
09/2007,76.870,845.500,712.653
10/2007,82.500,907.280,754.604
11/2007,92.620,846.440,806.248
12/2007,91.250,858.100,803.203
01/2008,92.000,784.230,889.595
02/2008,94.980,845.760,922.298
03/2008,103.580,817.030,968.434
04/2008,108.970,832.450,909.705
05/2008,123.050,833.650,888.663
06/2008,132.440,768.590,889.488
07/2008,133.190,676.320,939.772
08/2008,113.030,684.440,839.025
09/2008,98.130,596.540,829.932
10/2008,71.870,416.530,806.620
11/2008,52.510,401.840,760.863
12/2008,40.350,449.960,816.092
01/2009,43.590,437.690,858.690
02/2009,43.070,431.520,943.163
03/2009,46.550,431.500,924.273
04/2009,50.440,491.690,890.200
05/2009,57.270,560.410,928.645
06/2009,68.550,597.480,945.670
07/2009,64.610,624.000,934.228
08/2009,72.840,653.250,949.375
09/2009,67.390,717.070,996.591
10/2009,72.760,685.240,1043.159
11/2009,76.660,689.070,1127.036
12/2009,74.280,734.540,1134.724
01/2010,76.190,696.550,1117.963
02/2010,73.640,721.370,1095.413
03/2010,78.900,787.980,1113.337
04/2010,84.790,763.510,1148.688
05/2010,75.570,750.430,1205.434
06/2010,74.850,797.310,1232.920
07/2010,75.640,855.830,1192.966
08/2010,77.070,913.190,1215.810
09/2010,77.800,975.300,1270.977
10/2010,82.750,984.460,1342.024
11/2010,85.330,1005.120,1369.886
12/2010,91.530,1032.760,1390.553
01/2011,96.350,964.100,1356.400
02/2011,103.760,987.910,1372.725
03/2011,114.600,1047.480,1424.011
04/2011,123.720,1093.560,1473.806
05/2011,115.100,1073.830,1510.438
06/2011,114.040,1041.480,1528.659
07/2011,116.890,1133.530,1572.810
08/2011,110.460,1070.050,1755.807
09/2011,113.130,916.210,1771.852
10/2011,109.440,974.750,1665.214
11/2011,110.660,995.330,1738.977
12/2011,107.860,1025.320,1652.306
01/2012,110.580,1083.970,1656.119
02/2012,119.560,1160.900,1742.619
03/2012,125.330,1196.770,1673.773
04/2012,119.710,1228.490,1650.066
05/2012,110.270,1141.500,1585.505
06/2012,95.190,1172.110,1596.697
07/2012,102.590,1199.300,1593.909
08/2012,113.480,1227.480,1626.034
09/2012,112.860,1298.790,1744.450
10/2012,111.610,1298.870,1747.011
11/2012,109.110,1324.040,1721.136
12/2012,109.290,1391.930,1688.529
01/2013,113.010,1474.200,1670.955
02/2013,116.290,1541.580,1627.588
03/2013,108.370,1561.060,1592.863
04/2013,102.170,1597.860,1485.083
05/2013,102.530,1562.070,1413.500
06/2013,102.920,1451.900,1342.363
07/2013,107.960,1423.140,1286.724
08/2013,111.270,1294.300,1347.095
09/2013,111.900,1383.160,1348.798
10/2013,109.040,1442.880,1316.185
11/2013,107.970,1371.130,1275.821
12/2013,110.810,1298.710,1225.403
01/2014,108.260,1274.280,1244.795
02/2014,108.870,1325.330,1300.975
03/2014,107.550,1376.260,1336.083
04/2014,107.690,1414.940,1299.000
05/2014,109.670,1415.730,1287.525
06/2014,111.660,1485.750,1279.095
07/2014,106.640,1502.390,1310.967
08/2014,101.560,1561.630,1295.988
09/2014,97.300,1585.670,1238.818
10/2014,87.410,1584.160,1222.489
11/2014,78.900,1593.910,1176.300
12/2014,62.530,1497.670,1202.289
01/2015,47.860,1581.250,1251.845
02/2015,58.130,1587.010,1227.188
03/2015,55.930,1505.940,1178.630
04/2015,59.500,1526.740,1197.910
05/2015,64.320,1496.050,1199.053
06/2015,61.690,1504.550,1181.505
07/2015,56.540,1440.120,1130.037
08/2015,46.720,1382.410,1117.475
09/2015,47.610,1349.000,1124.532
10/2015,48.560,1394.940,1159.245
11/2015,44.300,1359.700,1085.702
12/2015,38.160,1288.020,1068.253
01/2016,30.750,1300.980,1097.375
02/2016,32.460,1332.370,1199.912
03/2016,38.510,1407.700,1246.338
04/2016,41.480,1404.610,1242.262
05/2016,46.830,1424.280,1259.398
06/2016,48.280,1444.990,1276.405
07/2016,45.000,1524.070,1337.326
08/2016,45.850,1548.440,1341.089
09/2016,46.690,1483.210,1326.030
10/2016,49.740,1495.720,1266.569
11/2016,45.130,1510.240,1235.980
12/2016,53.570,1542.940,1151.403
