month,r,dlo,dlp,dloil
Jan-00,5.45,4.8980622,2.7546652,83.12249285
Feb-00,5.73,4.8401245,3.16728,99.50893134
Mar-00,5.85,5.0189744,3.6930938,78.72939777
Apr-00,6.02,5.4124615,2.9693393,39.78055893
May-00,6.27,4.8026131,3.0844675,59.9608248
Jun-00,6.53,5.054395,3.6668804,63.07081773
Jul-00,6.54,4.1522816,3.5360195,40.75593497
Aug-00,6.50,3.468445,3.296355,40.11697108
Sep-00,6.52,4.2213283,3.3981008,38.54495034
Oct-00,6.51,2.5168154,3.3921381,34.16535954
Nov-00,6.51,2.0162356,3.3861962,28.08442645
Dec-00,6.40,0.9013771,3.3783062,0.74320702
Jan-01,5.98,0.0951747,3.6536392,0.430276431
Feb-01,5.49,-0.8958413,3.4685558,-1.013033265
Mar-01,5.31,-1.5811359,2.938846,-11.51491846
Apr-01,4.80,-2.4624527,3.1675553,11.99287499
May-01,4.21,-3.3471539,3.501075,2.033968424
Jun-01,3.97,-4.0736103,3.1440143,-6.767542714
Jul-01,3.77,-4.2796515,2.6851085,-15.30471513
Aug-01,3.65,-4.2809403,2.6851085,-16.21294456
Sep-01,3.07,-5.0952966,2.5591388,-25.73677155
Oct-01,2.49,-5.1580723,2.1053409,-41.03218442
Nov-01,2.09,-5.6853847,1.8766544,-54.89204988
Dec-01,1.82,-5.3448205,1.5909426,-31.58752189
Jan-02,1.73,-4.047721,1.1888054,-27.70698336
Feb-02,1.74,-3.4476099,1.1299555,-30.45508259
Mar-02,1.73,-2.3900875,1.3536585,-3.319806941
Apr-02,1.75,-1.7379922,1.6306237,0.272426711
May-02,1.75,-0.4276003,1.2331995,-11.04363691
Jun-02,1.75,1.154736,1.0635421,-14.54513459
Jul-02,1.73,1.2567753,1.4549781,4.489333777
Aug-02,1.74,1.6667865,1.7323708,3.707667179
Sep-02,1.75,2.0693759,1.5046258,10.30158487
Oct-02,1.75,2.2252548,2.0067563,29.32652888
Nov-02,1.34,3.2744814,2.2285046,25.82642177
Dec-02,1.24,2.7226607,2.4500112,41.48631736
Jan-03,1.24,2.9188465,2.7201233,47.34734008
Feb-03,1.26,3.3134974,3.0975928,47.9878284
Mar-03,1.25,2.3708845,2.980353,25.58517048
Apr-03,1.26,1.1394193,2.1518072,-2.878180143
May-03,1.26,0.592321,1.8764348,1.991864331
Jun-03,1.22,-0.3092089,1.9300296,13.82441075
Jul-03,1.01,0.338279,2.0347141,9.658082801
Aug-03,1.03,0.0966184,2.1918685,11.47348257
Sep-03,1.01,0.6259952,2.3504771,-4.648648166
Oct-03,1.01,0.907167,2.0213745,7.247264881
Nov-03,1.00,1.1698282,1.9100171,16.65166797
Dec-03,0.98,1.6635799,2.01477,5.092259385
Jan-04,1.00,1.1574092,2.0060309,0.320205205
Feb-04,1.01,1.3709278,1.6743572,-6.005261578
Mar-04,1.00,0.9556647,1.7251102,9.409177279
Apr-04,1.00,2.2311453,2.2666918,29.53525788
May-04,1.00,2.9383016,2.8565671,37.35084862
Jun-04,1.03,2.0119476,3.1185322,24.08520113
Jul-04,1.26,2.4400753,2.8971983,29.87319086
Aug-04,1.43,2.7996496,2.5155194,35.76112736
