t,X1,X2,X3,X4,X5,X6,CPIinf
1,-0.003002499,0.012238107,0.027490666,0.00103888,0.002313564,-0.006666019,0.003515368
2,0.005996012,0.001845197,0.009511651,0.003107204,-0.004604514,-0.004165859,0.003950679
3,-0.002001983,-0.001897861,-0.00608617,0.003078389,-0.01004527,-0.007601323,0.000887714
4,0.011842165,0.000902114,0.000833661,0.002003812,-0.002470509,-0.011301633,-0.001093379
5,-0.007964341,0.004552476,0.011779195,-0.004121239,-0.007168237,-0.011582339,-9.50E-05
6,-0.001976984,-0.001912681,-0.004412466,0.002004733,-0.011134907,-0.003862147,0.003725554
7,0.001920101,-0.000966297,-0.000154199,0.000967854,-0.007190612,-0.011552794,-0.001119991
8,0.008574768,-0.001843363,-0.007446777,0.00688783,-0.006512929,0.001086771,-0.000146762
9,-0.000204102,0.009728152,0.023977299,-0.008999049,-0.00754628,0.025624178,0.003516671
10,-0.006700039,-0.006332481,-0.015523603,0.001928899,-0.007156696,-0.011478017,-0.002043512
11,0.001790976,0.006838798,0.012067661,0.005758911,-0.003089107,-0.01167119,0.001596958
12,0.005389225,-0.008757483,-0.01633123,-0.001111954,-0.006598407,-0.010846804,0.000645999
13,-0.009220133,-0.006867835,-0.02045217,-0.004855487,-0.002727203,-0.011217832,-0.001973032
14,-2.95E-05,0.004266332,0.011368073,0.0027743,-0.011091252,-0.024980364,-0.003599788
15,-0.003615719,0.002525718,-0.006114698,-8.52E-05,0.002741842,0.011259591,0.004113461
16,0.011587619,-4.58E-05,0.008412667,-0.001933414,0.007982845,0.049233462,-0.006032546
17,-0.001051247,0.00494814,0.023382435,0.002691793,0.01277812,-0.011347816,0.000759463
18,-0.004485822,-0.008375958,-0.031664718,0.006207326,0.002436608,-0.009385877,0.000735717
19,-0.006982448,0.005744692,0.024566788,-0.012718156,0.009865393,-0.005700158,-0.002532649
20,0.016345418,-0.004153105,-0.009055839,0.00798634,0.00198476,-0.022437571,0.00075243
21,-0.006182752,0.00241009,0.002797547,-0.003639848,0.019626569,-0.00674057,-0.001664707
22,0.004045432,0.007961271,0.011875567,-6.24E-05,0.007262072,0.001123325,0.001548397
23,-0.005150023,-0.004960509,-0.003322164,0.013671794,0.022635399,-0.001964127,0.002302322
24,0.037492625,0.025368755,0.048299567,0.011988835,-0.006946383,-0.004817437,0.005329143
25,9.87E-05,0.001712675,-0.006288086,0.008445871,0.011071198,0.044386453,0.005086782
26,-0.007172679,-0.003475544,0.003082345,-0.023960169,0.024247321,0.043492754,-0.001162775
